feature,importance
population,0.16471980946446388
trade_percent_gdp,0.13703416366956558
noncommunicable_disease_rate,0.11925440280003197
pop_growth,0.09569647702252222
gdp_per_capita,0.09069406319432388
crude_birth_rate,0.08931633772675729
crude_death_rate,0.08455041530620412
infectious_disease_rate,0.06802745125807481
life_expectancy,0.06418626488666293
infant_mortality,0.054762950997755744
country_GBR,0.007219404971915384
country_FRA,0.0033603711212719252
country_DEU,0.002999330569699108
country_ZAF,0.002625762984081013
country_CHN,0.00233948279647523
country_USA,0.0021026519262444415
country_IND,0.0020982379169992797
country_CAN,0.0020467590574304753
dtm_stage,0.0014960831361172711
country_BRA,0.0012437991817504804
country_MEX,0.0010692992372899716
etm_stage,0.0010150191384829244
country_RUS,0.0007991879342877083
country_SAU,0.0006307922982312748
country_JPN,0.0005387745111184196
country_NGA,0.00017270689224270743
