country,year,income_group,dtm_stage,etm_stage,recommendation_tier,scenario,projected_score,uplift_vs_baseline
RUS,2023,Lower Middle Income,3,5,Tier 2 - Optimise,Scenario D - Comprehensive Reform,47.99,5.28
SAU,2023,Lower Middle Income,3,5,Tier 1 - Sustain & Lead,Baseline (No Change),80.16,0.0
SAU,2023,Lower Middle Income,3,5,Tier 1 - Sustain & Lead,Scenario A - Health Push,84.22,4.06
SAU,2023,Lower Middle Income,3,5,Tier 1 - Sustain & Lead,Scenario B - Inequality Reduction,100.0,19.84
SAU,2023,Lower Middle Income,3,5,Tier 1 - Sustain & Lead,Scenario C - Economic Acceleration,81.79,1.64
SAU,2023,Lower Middle Income,3,5,Tier 1 - Sustain & Lead,Scenario D - Comprehensive Reform,85.69,5.53
USA,2023,Lower Middle Income,4,5,Tier 2 - Optimise,Baseline (No Change),48.62,0.0
USA,2023,Lower Middle Income,4,5,Tier 2 - Optimise,Scenario A - Health Push,52.89,4.27
USA,2023,Lower Middle Income,4,5,Tier 2 - Optimise,Scenario B - Inequality Reduction,69.52,20.9
USA,2023,Lower Middle Income,4,5,Tier 2 - Optimise,Scenario C - Economic Acceleration,50.25,1.63
USA,2023,Lower Middle Income,4,5,Tier 2 - Optimise,Scenario D - Comprehensive Reform,54.32,5.7
ZAF,2023,Lower Middle Income,3,5,Tier 2 - Optimise,Baseline (No Change),34.12,0.0
ZAF,2023,Lower Middle Income,3,5,Tier 2 - Optimise,Scenario A - Health Push,42.11,7.99
ZAF,2023,Lower Middle Income,3,5,Tier 2 - Optimise,Scenario B - Inequality Reduction,40.0,5.87
ZAF,2023,Lower Middle Income,3,5,Tier 2 - Optimise,Scenario C - Economic Acceleration,35.76,1.64
ZAF,2023,Lower Middle Income,3,5,Tier 2 - Optimise,Scenario D - Comprehensive Reform,42.41,8.28
