feature,importance
infectious_disease_rate,0.7279772558072936
infant_mortality,0.11365181018667263
life_expectancy,0.045459498768400726
crude_death_rate,0.029091660665760653
country_ZAF,0.013335301328899235
crude_birth_rate,0.013209149539700404
noncommunicable_disease_rate,0.012987918668336108
pop_growth,0.011369995790689973
country_IND,0.009881435255893677
trade_percent_gdp,0.00873453380821286
dtm_stage,0.006862824897626676
population,0.003186569421951968
country_CHN,0.002036997043197921
country_BRA,0.0011643440288604454
country_USA,0.00038361766265567604
country_NGA,0.00020445814928399535
etm_stage,0.00012454427204637586
country_FRA,9.710933029414836e-05
country_MEX,7.649696315172121e-05
country_SAU,7.208519877277149e-05
country_GBR,3.3148296201334105e-05
country_CAN,2.3731785289020175e-05
country_RUS,2.1637721229333424e-05
country_JPN,7.765802385443007e-06
country_DEU,6.1096071932731445e-06
