country,average_value
JPN,83.05064024390244
AUS,81.72845528455285
FRA,81.44532520325204
CAN,81.01194105691059
GBR,80.09410365853658
DEU,79.9604979674797
USA,77.93160569105692
SAU,76.05425000000001
CHN,75.78433333333334
MEX,73.55883333333334
BRA,73.4375
RUS,69.20681910569107
IND,67.45345833333333
ZAF,60.306875
NGA,51.15133333333333
