country,average_value
USA,53247.83833333334
AUS,48048.57791666666
CAN,42867.28416666667
DEU,41865.84166666667
GBR,41739.8775
JPN,38935.87708333333
FRA,37744.910833333335
SAU,22616.177916666667
MEX,9725.00375
RUS,9534.19875
BRA,8135.68625
CHN,6126.6954166666665
ZAF,6033.124166666667
NGA,1990.4570833333335
IND,1359.7795833333332
