model,mae,rmse,r2,mape_percent
ridge_regression,0.2634781201194998,0.3220797430529705,0.9150196229694884,2.753082414416304
linear_regression,0.28962860931825574,0.3546868421454593,0.8969419343183529,3.0478517029967613
lasso_regression,0.307799691542814,0.3758391576590298,0.8842833416672603,3.2222492200045076
gradient_boosting,0.30221600628356116,0.4272609538844828,0.850452814859419,3.180318761811106
random_forest,0.30724084925226236,0.4812526481444175,0.8102690872613134,3.172288711290179
