country,average_value
NGA,75.33749999999999
IND,44.12916666666666
ZAF,35.71666666666667
BRA,17.275000000000002
MEX,16.05
CHN,13.25
SAU,10.483333333333333
RUS,8.358333333333333
USA,6.166666666666667
CAN,4.879166666666666
GBR,4.45
AUS,3.9333333333333336
DEU,3.5375
FRA,3.35
JPN,2.3333333333333335
